cat1,cat2,id,unicode,title
Smileys & Emotion,face-smiling,1,1F600,grinning face
Smileys & Emotion,face-smiling,2,1F603,grinning face with big eyes
Smileys & Emotion,face-smiling,3,1F604,grinning face with smiling eyes
Smileys & Emotion,face-smiling,4,1F601,beaming face with smiling eyes
Smileys & Emotion,face-smiling,5,1F606,grinning squinting face
Smileys & Emotion,face-smiling,6,1F605,grinning face with sweat
Smileys & Emotion,face-smiling,7,1F923,rolling on the floor laughing
Smileys & Emotion,face-smiling,8,1F602,face with tears of joy
Smileys & Emotion,face-smiling,9,1F642,slightly smiling face
Smileys & Emotion,face-smiling,10,1F643,upside-down face
Smileys & Emotion,face-smiling,11,1FAE0,melting face
Smileys & Emotion,face-smiling,12,1F609,winking face
Smileys & Emotion,face-smiling,13,1F60A,smiling face with smiling eyes
Smileys & Emotion,face-smiling,14,1F607,smiling face with halo
Smileys & Emotion,face-affection,15,1F970,smiling face with hearts
Smileys & Emotion,face-affection,16,1F60D,smiling face with heart-eyes
Smileys & Emotion,face-affection,17,1F929,star-struck
Smileys & Emotion,face-affection,18,1F618,face blowing a kiss
Smileys & Emotion,face-affection,19,1F617,kissing face
Smileys & Emotion,face-affection,20,263A,smiling face
Smileys & Emotion,face-affection,21,1F61A,kissing face with closed eyes
Smileys & Emotion,face-affection,22,1F619,kissing face with smiling eyes
Smileys & Emotion,face-affection,23,1F972,smiling face with tear
Smileys & Emotion,face-tongue,24,1F60B,face savoring food
Smileys & Emotion,face-tongue,25,1F61B,face with tongue
Smileys & Emotion,face-tongue,26,1F61C,winking face with tongue
Smileys & Emotion,face-tongue,27,1F92A,zany face
Smileys & Emotion,face-tongue,28,1F61D,squinting face with tongue
Smileys & Emotion,face-tongue,29,1F911,money-mouth face
Smileys & Emotion,face-hand,30,1F917,smiling face with open hands
Smileys & Emotion,face-hand,31,1F92D,face with hand over mouth
Smileys & Emotion,face-hand,32,1FAE2,face with open eyes and hand over mouth
Smileys & Emotion,face-hand,33,1FAE3,face with peeking eye
Smileys & Emotion,face-hand,34,1F92B,shushing face
Smileys & Emotion,face-hand,35,1F914,thinking face
Smileys & Emotion,face-hand,36,1FAE1,saluting face
Smileys & Emotion,face-neutral-skeptical,37,1F910,zipper-mouth face
Smileys & Emotion,face-neutral-skeptical,38,1F928,face with raised eyebrow
Smileys & Emotion,face-neutral-skeptical,39,1F610,neutral face
Smileys & Emotion,face-neutral-skeptical,40,1F611,expressionless face
Smileys & Emotion,face-neutral-skeptical,41,1F636,face without mouth
Smileys & Emotion,face-neutral-skeptical,42,1FAE5,dotted line face
Smileys & Emotion,face-neutral-skeptical,43,1F636+200D+1F32B+FE0F,face in clouds
Smileys & Emotion,face-neutral-skeptical,44,1F60F,smirking face
Smileys & Emotion,face-neutral-skeptical,45,1F612,unamused face
Smileys & Emotion,face-neutral-skeptical,46,1F644,face with rolling eyes
Smileys & Emotion,face-neutral-skeptical,47,1F62C,grimacing face
Smileys & Emotion,face-neutral-skeptical,48,1F62E+200D+1F4A8,face exhaling
Smileys & Emotion,face-neutral-skeptical,49,1F925,lying face
Smileys & Emotion,face-neutral-skeptical,50,1FAE8,shaking face
Smileys & Emotion,face-neutral-skeptical,51,1F642+200D+2194+FE0F,head shaking horizontally
Smileys & Emotion,face-neutral-skeptical,52,1F642+200D+2195+FE0F,head shaking vertically
Smileys & Emotion,face-sleepy,53,1F60C,relieved face
Smileys & Emotion,face-sleepy,54,1F614,pensive face
Smileys & Emotion,face-sleepy,55,1F62A,sleepy face
Smileys & Emotion,face-sleepy,56,1F924,drooling face
Smileys & Emotion,face-sleepy,57,1F634,sleeping face
Smileys & Emotion,face-sleepy,58,1FAE9,⊛ face with bags under eyes
Smileys & Emotion,face-unwell,59,1F637,face with medical mask
Smileys & Emotion,face-unwell,60,1F912,face with thermometer
Smileys & Emotion,face-unwell,61,1F915,face with head-bandage
Smileys & Emotion,face-unwell,62,1F922,nauseated face
Smileys & Emotion,face-unwell,63,1F92E,face vomiting
Smileys & Emotion,face-unwell,64,1F927,sneezing face
Smileys & Emotion,face-unwell,65,1F975,hot face
Smileys & Emotion,face-unwell,66,1F976,cold face
Smileys & Emotion,face-unwell,67,1F974,woozy face
Smileys & Emotion,face-unwell,68,1F635,face with crossed-out eyes
Smileys & Emotion,face-unwell,69,1F635+200D+1F4AB,face with spiral eyes
Smileys & Emotion,face-unwell,70,1F92F,exploding head
Smileys & Emotion,face-hat,71,1F920,cowboy hat face
Smileys & Emotion,face-hat,72,1F973,partying face
Smileys & Emotion,face-hat,73,1F978,disguised face
Smileys & Emotion,face-glasses,74,1F60E,smiling face with sunglasses
Smileys & Emotion,face-glasses,75,1F913,nerd face
Smileys & Emotion,face-glasses,76,1F9D0,face with monocle
Smileys & Emotion,face-concerned,77,1F615,confused face
Smileys & Emotion,face-concerned,78,1FAE4,face with diagonal mouth
Smileys & Emotion,face-concerned,79,1F61F,worried face
Smileys & Emotion,face-concerned,80,1F641,slightly frowning face
Smileys & Emotion,face-concerned,81,2639,frowning face
Smileys & Emotion,face-concerned,82,1F62E,face with open mouth
Smileys & Emotion,face-concerned,83,1F62F,hushed face
Smileys & Emotion,face-concerned,84,1F632,astonished face
Smileys & Emotion,face-concerned,85,1F633,flushed face
Smileys & Emotion,face-concerned,86,1F97A,pleading face
Smileys & Emotion,face-concerned,87,1F979,face holding back tears
Smileys & Emotion,face-concerned,88,1F626,frowning face with open mouth
Smileys & Emotion,face-concerned,89,1F627,anguished face
Smileys & Emotion,face-concerned,90,1F628,fearful face
Smileys & Emotion,face-concerned,91,1F630,anxious face with sweat
Smileys & Emotion,face-concerned,92,1F625,sad but relieved face
Smileys & Emotion,face-concerned,93,1F622,crying face
